source,target,similarity
0,1,0.5857767462730408
0,9,0.3901991546154022
0,2,0.37670910358428955
0,4,0.34592312574386597
0,16,0.2974133789539337
1,0,0.5857767462730408
1,12,0.5061348676681519
1,11,0.4686623811721802
1,9,0.4277752637863159
1,13,0.4202750325202942
2,9,0.5408675670623779
2,3,0.429764986038208
2,15,0.40982407331466675
2,1,0.3908991813659668
2,0,0.37670910358428955
3,2,0.429764986038208
3,9,0.3921469748020172
3,15,0.3917262554168701
3,13,0.327532023191452
3,14,0.2529119551181793
4,19,0.38088926672935486
4,14,0.3521270453929901
4,0,0.34592312574386597
4,20,0.3065451383590698
4,10,0.2929794490337372
5,749,0.6134951114654541
5,6,0.5954679846763611
5,8,0.5279856324195862
5,7,0.5260420441627502
5,117,0.47086870670318604
6,750,0.6523221731185913
6,5,0.5954679846763611
6,8,0.5646427869796753
6,749,0.5473015904426575
6,7,0.528285562992096
7,751,0.6773782968521118
7,8,0.534280002117157
7,6,0.528285562992096
7,5,0.5260420441627502
7,531,0.5229575037956238
8,752,0.744933009147644
8,751,0.6126855611801147
8,577,0.5704710483551025
8,6,0.5646427869796753
8,657,0.5524551868438721
9,2,0.5408675670623779
9,15,0.49358034133911133
9,14,0.4897238314151764
9,10,0.45068442821502686
9,1,0.4277752637863159
10,20,0.5893756151199341
10,17,0.5248000025749207
10,9,0.45068442821502686
10,39,0.4443812072277069
10,19,0.4419203996658325
11,1,0.4686623811721802
11,12,0.4488961398601532
11,14,0.36720776557922363
11,13,0.3221883475780487
11,10,0.31638303399086
12,13,0.5309910178184509
12,1,0.5061348676681519
12,11,0.4488961398601532
12,9,0.3387901484966278
12,10,0.3376571536064148
13,12,0.5309910178184509
13,1,0.4202750325202942
13,3,0.327532023191452
13,11,0.3221883475780487
13,774,0.28650638461112976
14,15,0.5039746165275574
14,9,0.4897238314151764
14,11,0.36720776557922363
14,10,0.36433145403862
14,4,0.3521270453929901
15,14,0.5039746165275574
15,9,0.49358034133911133
15,2,0.40982407331466675
15,3,0.3917262554168701
15,10,0.30693745613098145
16,19,0.4485815167427063
16,21,0.44649025797843933
16,657,0.4369558095932007
16,20,0.4359770715236664
16,38,0.41255155205726624
17,18,0.5626944899559021
17,10,0.5248000025749207
17,38,0.4611716866493225
17,19,0.41385796666145325
17,16,0.4070514142513275
18,17,0.5626944899559021
18,19,0.44477614760398865
18,38,0.4375620484352112
18,36,0.35271671414375305
18,10,0.34758102893829346
19,16,0.4485815167427063
19,18,0.44477614760398865
19,10,0.4419203996658325
19,17,0.41385796666145325
19,20,0.4073850214481354
20,10,0.5893756151199341
20,21,0.4567350149154663
20,16,0.4359770715236664
20,19,0.4073850214481354
20,31,0.40533339977264404
21,22,0.5239046216011047
21,38,0.5071551203727722
21,39,0.4690321385860443
21,20,0.4567350149154663
21,16,0.44649025797843933
22,21,0.5239046216011047
22,26,0.5054016709327698
22,38,0.38695138692855835
22,39,0.3677683174610138
22,37,0.3349718749523163
23,426,0.6085792779922485
23,24,0.6048406362533569
23,25,0.5797537565231323
23,709,0.44146960973739624
23,693,0.4374536871910095
24,25,0.7164500951766968
24,23,0.6048406362533569
24,426,0.5009040832519531
24,471,0.47787952423095703
24,709,0.46469318866729736
25,24,0.7164500951766968
25,23,0.5797537565231323
25,471,0.4655393660068512
25,426,0.4526974558830261
25,693,0.4497356712818146
26,22,0.5054016709327698
26,28,0.45340168476104736
26,40,0.4487655460834503
26,21,0.4458300471305847
26,39,0.4352976083755493
27,28,0.46836724877357483
27,345,0.4290143549442291
27,349,0.42020219564437866
27,346,0.41775959730148315
27,338,0.4175869822502136
28,30,0.5553858876228333
28,27,0.46836724877357483
28,26,0.45340168476104736
28,29,0.4054483473300934
28,33,0.3688398003578186
29,30,0.43035003542900085
29,28,0.4054483473300934
29,33,0.3566572070121765
29,525,0.3229914903640747
29,237,0.3087764382362366
30,28,0.5553858876228333
30,29,0.43035003542900085
30,33,0.30837514996528625
30,10,0.30073288083076477
30,32,0.2963067293167114
31,32,0.5017274022102356
31,20,0.40533339977264404
31,586,0.365413099527359
31,16,0.3622662425041199
31,320,0.35898667573928833
32,31,0.5017274022102356
32,38,0.45205146074295044
32,10,0.42768505215644836
32,39,0.4260380268096924
32,34,0.42228391766548157
33,34,0.5018222332000732
33,32,0.39238113164901733
33,39,0.37783727049827576
33,28,0.3688398003578186
33,29,0.3566572070121765
34,33,0.5018222332000732
34,35,0.4728131890296936
34,705,0.46825140714645386
34,36,0.45782381296157837
34,39,0.4577498137950897
35,34,0.4728131890296936
35,39,0.37422266602516174
35,32,0.3476369082927704
35,38,0.33155807852745056
35,16,0.2934762239456177
36,37,0.5525170564651489
36,38,0.47657495737075806
36,34,0.45782381296157837
36,32,0.38964998722076416
36,39,0.3868129551410675
37,36,0.5525170564651489
37,38,0.4668480455875397
37,40,0.4360737204551697
37,39,0.42194586992263794
37,32,0.4175882637500763
38,39,0.6112499237060547
38,21,0.5071551203727722
38,36,0.47657495737075806
38,37,0.4668480455875397
38,17,0.4611716866493225
39,38,0.6112499237060547
39,40,0.4851709008216858
39,21,0.4690321385860443
39,34,0.4577498137950897
39,10,0.4443812072277069
40,39,0.4851709008216858
40,26,0.4487655460834503
40,37,0.4360737204551697
40,38,0.42298582196235657
40,32,0.4128165543079376
41,42,0.5754362344741821
41,43,0.5524823665618896
41,48,0.5067582130432129
41,71,0.46262919902801514
41,70,0.4588397145271301
42,41,0.5754362344741821
42,313,0.5376238226890564
42,48,0.5255932807922363
42,70,0.5183390974998474
42,43,0.4960820972919464
43,41,0.5524823665618896
43,71,0.5004942417144775
43,42,0.4960820972919464
43,70,0.4797738790512085
43,44,0.4796743094921112
44,43,0.4796743094921112
44,71,0.4597432613372803
44,48,0.4215528964996338
44,41,0.42074793577194214
44,50,0.40795135498046875
45,46,0.6251934766769409
45,71,0.4929347634315491
45,47,0.48929211497306824
45,42,0.44070422649383545
45,70,0.41252458095550537
46,45,0.6251934766769409
46,47,0.48614946007728577
46,71,0.45937198400497437
46,42,0.45779067277908325
46,314,0.43169328570365906
47,314,0.5993597507476807
47,55,0.5126089453697205
47,45,0.48929211497306824
47,46,0.48614946007728577
47,42,0.48536935448646545
48,70,0.5344375967979431
48,57,0.5339614748954773
48,42,0.5255932807922363
48,64,0.5171100497245789
48,41,0.5067582130432129
49,70,0.579817533493042
49,50,0.5080685615539551
49,71,0.43648451566696167
49,42,0.4299934208393097
49,48,0.4260960817337036
50,49,0.5080685615539551
50,48,0.5062952041625977
50,54,0.501615583896637
50,70,0.48511630296707153
50,73,0.47727170586586
51,52,0.6059529185295105
51,53,0.6052297353744507
51,244,0.46669286489486694
51,109,0.46352654695510864
51,243,0.4300438463687897
52,53,0.6810296773910522
52,51,0.6059529185295105
52,243,0.4598886966705322
52,80,0.4519597291946411
52,109,0.4418093264102936
53,52,0.6810296773910522
53,51,0.6052297353744507
53,80,0.4686500132083893
53,243,0.45504269003868103
53,109,0.4311072826385498
54,58,0.5603501200675964
54,57,0.5538073182106018
54,50,0.501615583896637
54,73,0.4965762794017792
54,56,0.48610520362854004
55,56,0.5500938892364502
55,47,0.5126089453697205
55,42,0.4730622470378876
55,669,0.46940240263938904
55,313,0.4581426680088043
56,55,0.5500938892364502
56,57,0.4911700189113617
56,316,0.48918333649635315
56,48,0.48789358139038086
56,54,0.48610520362854004
57,58,0.5568446516990662
57,54,0.5538073182106018
57,48,0.5339614748954773
57,378,0.5082941651344299
57,56,0.4911700189113617
58,54,0.5603501200675964
58,57,0.5568446516990662
58,59,0.54698246717453
58,378,0.4982200264930725
58,73,0.4901469945907593
59,60,0.6156206130981445
59,58,0.54698246717453
59,379,0.5315365195274353
59,57,0.47743454575538635
59,378,0.46298521757125854
60,59,0.6156206130981445
60,378,0.48566576838493347
60,61,0.4625767171382904
60,57,0.44442737102508545
60,58,0.4236533045768738
61,380,0.5494769215583801
61,63,0.5418254733085632
61,65,0.48456841707229614
61,73,0.4733120799064636
61,72,0.47285380959510803
62,66,0.5544363856315613
62,63,0.5478765964508057
62,78,0.4644654393196106
62,321,0.4168766140937805
62,323,0.41398048400878906
63,66,0.5691275000572205
63,62,0.5478765964508057
63,380,0.5448387265205383
63,61,0.5418254733085632
63,69,0.5183773040771484
64,48,0.5171100497245789
64,66,0.5046929121017456
64,57,0.4623534083366394
64,61,0.4579279124736786
64,72,0.4570886492729187
65,77,0.5074171423912048
65,61,0.48456841707229614
65,63,0.46018150448799133
65,72,0.4597940444946289
65,64,0.4526386260986328
66,63,0.5691275000572205
66,62,0.5544363856315613
66,64,0.5046929121017456
66,73,0.45943284034729004
66,323,0.45422399044036865
67,80,0.5413427352905273
67,78,0.458486944437027
67,81,0.4122822880744934
67,66,0.4033123254776001
67,68,0.3966521918773651
68,81,0.5365288257598877
68,69,0.48076730966567993
68,78,0.4577203392982483
68,172,0.4520253837108612
68,63,0.43978363275527954
69,321,0.5773822665214539
69,63,0.5183773040771484
69,68,0.48076730966567993
69,72,0.47564563155174255
69,61,0.4674529433250427
70,71,0.5991716384887695
70,49,0.579817533493042
70,746,0.5457574129104614
70,48,0.5344375967979431
70,42,0.5183390974998474
71,70,0.5991716384887695
71,73,0.5534300804138184
71,43,0.5004942417144775
71,45,0.4929347634315491
71,48,0.48196205496788025
72,73,0.5172227025032043
72,63,0.48946431279182434
72,364,0.47937440872192383
72,69,0.47564563155174255
72,61,0.47285380959510803
73,71,0.5534300804138184
73,72,0.5172227025032043
73,54,0.4965762794017792
73,58,0.4901469945907593
73,50,0.47727170586586
74,77,0.5077071785926819
74,82,0.5025030970573425
74,117,0.4985390901565552
74,112,0.49610233306884766
74,85,0.4785972833633423
75,369,0.5487142205238342
75,222,0.5442322492599487
75,113,0.5225378274917603
75,118,0.5191354751586914
75,112,0.5165631771087646
76,370,0.632633626461029
76,77,0.5760166645050049
76,223,0.5599333047866821
76,104,0.5234366655349731
76,171,0.5118549466133118
77,76,0.5760166645050049
77,112,0.5092347860336304
77,74,0.5077071785926819
77,65,0.5074171423912048
77,91,0.4978754222393036
78,81,0.5052766799926758
78,325,0.4978337287902832
78,63,0.49286001920700073
78,76,0.4710504710674286
78,322,0.46730685234069824
79,80,0.5892188549041748
79,74,0.44286543130874634
79,113,0.4379062354564667
79,84,0.42775803804397583
79,89,0.4189949929714203
80,79,0.5892188549041748
80,67,0.5413427352905273
80,53,0.4686500132083893
80,52,0.4519597291946411
80,109,0.43674325942993164
81,68,0.5365288257598877
81,113,0.5061691403388977
81,104,0.5058096051216125
81,78,0.5052766799926758
81,82,0.4937029480934143
82,112,0.5794016718864441
82,224,0.5065516233444214
82,74,0.5025030970573425
82,75,0.49486106634140015
82,84,0.4944729208946228
83,84,0.6190711259841919
83,82,0.49154049158096313
83,107,0.42755529284477234
83,53,0.40546706318855286
83,112,0.4039590358734131
84,83,0.6190711259841919
84,82,0.4944729208946228
84,85,0.4887009561061859
84,86,0.47213372588157654
84,93,0.46432554721832275
85,112,0.4945361614227295
85,84,0.4887009561061859
85,128,0.48627275228500366
85,74,0.4785972833633423
85,88,0.4704681932926178
86,87,0.5227257013320923
86,88,0.4935517907142639
86,120,0.4727458953857422
86,84,0.47213372588157654
86,112,0.45986902713775635
87,88,0.5478792190551758
87,121,0.5315489172935486
87,119,0.5286052823066711
87,86,0.5227257013320923
87,82,0.4884158968925476
88,119,0.6206364035606384
88,87,0.5478792190551758
88,112,0.5154869556427002
88,120,0.5058320164680481
88,86,0.4935517907142639
89,127,0.5163120031356812
89,120,0.48220136761665344
89,90,0.48167335987091064
89,74,0.4343695342540741
89,91,0.427496075630188
90,91,0.5243815183639526
90,89,0.48167335987091064
90,127,0.46363723278045654
90,128,0.43652772903442383
90,88,0.420520544052124
91,128,0.52646803855896
91,90,0.5243815183639526
91,207,0.4999068081378937
91,77,0.4978754222393036
91,112,0.48074182868003845
92,93,0.5126288533210754
92,128,0.49194666743278503
92,84,0.455833375453949
92,349,0.44664764404296875
92,96,0.44203439354896545
93,96,0.5237745642662048
93,92,0.5126288533210754
93,114,0.479306161403656
93,116,0.4675734043121338
93,113,0.466602087020874
94,135,0.5558754205703735
94,95,0.5376282930374146
94,387,0.5129681825637817
94,75,0.5123045444488525
94,622,0.493468701839447
95,94,0.5376282930374146
95,113,0.5323129892349243
95,114,0.5150372982025146
95,136,0.48635828495025635
95,98,0.47373101115226746
96,97,0.5513193607330322
96,93,0.5237745642662048
96,92,0.44203439354896545
96,101,0.4294114112854004
96,99,0.42614102363586426
97,96,0.5513193607330322
97,98,0.4727921485900879
97,113,0.4409499168395996
97,93,0.440192848443985
97,94,0.43595001101493835
98,99,0.5691936612129211
98,101,0.5277032852172852
98,95,0.47373101115226746
98,97,0.4727921485900879
98,102,0.4581609070301056
99,98,0.5691936612129211
99,101,0.5677991509437561
99,113,0.47891151905059814
99,95,0.4703581631183624
99,114,0.4651523530483246
100,101,0.42668840289115906
100,99,0.41533350944519043
100,98,0.38848209381103516
100,95,0.36492815613746643
100,102,0.35597020387649536
101,102,0.5713480114936829
101,99,0.5677991509437561
101,98,0.5277032852172852
101,134,0.525562047958374
101,136,0.5205153226852417
102,143,0.5789512991905212
102,101,0.5713480114936829
102,136,0.548454761505127
102,139,0.5371639132499695
102,103,0.5234190821647644
103,102,0.5234190821647644
103,101,0.5063984990119934
103,134,0.5013828277587891
103,137,0.4986303746700287
103,389,0.49322181940078735
104,207,0.585631251335144
104,105,0.5797277688980103
104,76,0.5234366655349731
104,81,0.5058096051216125
104,116,0.4920753538608551
105,106,0.607292652130127
105,104,0.5797277688980103
105,207,0.5410110950469971
105,206,0.5153459906578064
105,81,0.4753117561340332
106,105,0.607292652130127
106,207,0.5251282453536987
106,110,0.4695366322994232
106,104,0.440386563539505
106,107,0.4374406039714813
107,109,0.6420179605484009
107,207,0.6166678667068481
107,108,0.5889411568641663
107,116,0.48600929975509644
107,110,0.4645526111125946
108,107,0.5889411568641663
108,207,0.5274718403816223
108,208,0.4872788190841675
108,110,0.48005375266075134
108,116,0.47511762380599976
109,107,0.6420179605484009
109,207,0.5236494541168213
109,243,0.5055690407752991
109,245,0.484796941280365
109,110,0.478816956281662
110,208,0.6047797203063965
110,207,0.5787963271141052
110,111,0.5607709884643555
110,108,0.48005375266075134
110,109,0.478816956281662
111,110,0.5607709884643555
111,116,0.5086520910263062
111,207,0.47833338379859924
111,105,0.4538995325565338
111,104,0.4408031105995178
112,82,0.5794016718864441
112,164,0.5626508593559265
112,113,0.5474226474761963
112,270,0.5285993218421936
112,75,0.5165631771087646
113,116,0.5561878681182861
113,112,0.5474226474761963
113,95,0.5323129892349243
113,75,0.5225378274917603
113,115,0.5196046829223633
114,95,0.5150372982025146
114,101,0.49850404262542725
114,93,0.479306161403656
114,113,0.47893279790878296
114,99,0.4651523530483246
115,113,0.5196046829223633
115,116,0.4889518618583679
115,207,0.462961882352829
115,85,0.4463720917701721
115,88,0.44074612855911255
116,113,0.5561878681182861
116,207,0.5159698128700256
116,111,0.5086520910263062
116,104,0.4920753538608551
116,115,0.4889518618583679
117,130,0.5143542289733887
117,221,0.5045015811920166
117,123,0.49869170784950256
117,119,0.4986141324043274
117,74,0.4985390901565552
118,449,0.5468125343322754
118,123,0.5384628772735596
118,369,0.5356585383415222
118,75,0.5191354751586914
118,694,0.5142413973808289
119,88,0.6206364035606384
119,146,0.5418766140937805
119,124,0.5302555561065674
119,87,0.5286052823066711
119,121,0.5128400325775146
120,121,0.5676512122154236
120,122,0.5077701807022095
120,88,0.5058320164680481
120,123,0.4927040934562683
120,87,0.4881651699542999
121,122,0.6596171855926514
121,474,0.6086826920509338
121,125,0.5852177739143372
121,120,0.5676512122154236
121,124,0.5633330941200256
122,121,0.6596171855926514
122,123,0.5640489459037781
122,488,0.5382789373397827
122,125,0.5373605489730835
122,455,0.5338573455810547
123,122,0.5640489459037781
123,118,0.5384628772735596
123,124,0.525041401386261
123,121,0.5176234245300293
123,125,0.5156100988388062
124,125,0.660780668258667
124,121,0.5633330941200256
124,119,0.5302555561065674
124,123,0.525041401386261
124,122,0.5081561803817749
125,124,0.660780668258667
125,121,0.5852177739143372
125,122,0.5373605489730835
125,123,0.5156100988388062
125,237,0.5018283724784851
126,125,0.4655919373035431
126,149,0.4560089111328125
126,153,0.4507952034473419
126,144,0.43027883768081665
126,115,0.42612215876579285
127,129,0.5164266228675842
127,89,0.5163120031356812
127,128,0.4999603033065796
127,90,0.46363723278045654
127,120,0.4475868344306946
128,91,0.52646803855896
